State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Punjab,Tarntaran,Patti,Brinjal,Other,FAQ,12/09/2025,1800,2400,2200
Punjab,Tarntaran,Patti,Cauliflower,Other,FAQ,12/09/2025,5000,6000,5500
Punjab,Tarntaran,Patti,Potato,Other,FAQ,12/09/2025,800,1000,900
Punjab,Tarntaran,Tarantaran,Brinjal,Other,FAQ,12/09/2025,2000,2500,2400
Punjab,Tarntaran,Tarantaran,Cucumbar(Kheera),Cucumbar,FAQ,12/09/2025,2000,2500,2400
Punjab,Tarntaran,Tarantaran,Onion,Other,FAQ,12/09/2025,1300,1500,1400
Rajasthan,Beawar,Beawar,"Barley (Jau)",Other,FAQ,12/09/2025,2400,2500,2450
Rajasthan,Ganganagar,"Sriganganagar (F&V)",Brinjal,Brinjal,FAQ,12/09/2025,1300,1700,1500
Rajasthan,Ganganagar,"Sriganganagar (F&V)",Cabbage,Other,FAQ,12/09/2025,1100,1500,1300
Rajasthan,Ganganagar,"Sriganganagar (F&V)","Green Chilli","Green Chilly",FAQ,12/09/2025,2400,2800,2600
Rajasthan,Ganganagar,"Sriganganagar (F&V)",Guava,Guava,Medium,12/09/2025,1300,1700,1500
Rajasthan,Ganganagar,Suratgarh,Potato,"(Red Nanital)",FAQ,12/09/2025,1500,1600,1550
Rajasthan,Hanumangarh,Sangriya,Potato,Potato,FAQ,12/09/2025,1300,2400,1800
Rajasthan,"Jaipur Rural",Bassi,"Guar Seed(Cluster Beans Seed)",Other,FAQ,12/09/2025,4600,4635,4617
Rajasthan,Jalore,Jalore,Cabbage,Other,FAQ,12/09/2025,1500,1800,1600
Rajasthan,Jalore,Jalore,"Green Chilli",Other,FAQ,12/09/2025,1500,1800,1600
Rajasthan,Jalore,Jalore,Tomato,Other,FAQ,12/09/2025,1500,1800,1600
Telangana,Karimnagar,Huzzurabad,Paddy(Dhan)(Common),1001,FAQ,12/09/2025,2300,2300,2300
Telangana,Karimnagar,Huzzurabad,Paddy(Dhan)(Common),MTU-1010,FAQ,12/09/2025,2320,2320,2320
Telangana,Khammam,Charla,Paddy(Dhan)(Common),MTU-1010,FAQ,12/09/2025,2100,2300,2200
Telangana,Nalgonda,Nakrekal,Paddy(Dhan)(Common),MTU-1010,FAQ,12/09/2025,2320,2320,2320
Tripura,Gomati,Nutanbazar,Cucumbar(Kheera),Cucumbar,FAQ,12/09/2025,4850,5000,4950
Tripura,Gomati,Nutanbazar,Ginger(Green),"Green Ginger",FAQ,12/09/2025,13500,15000,14500
Tripura,Khowai,Teliamura,Fish,Katla(Big),FAQ,12/09/2025,27000,27200,27100
